Year,Month,Day,Flow(m3/s),Sed(tons),TN(kg),TP(kg),MinN(kg),OrgN(kg),MinP(kg),OrgP(kg),Tpest(grams)
1998,8,10,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,11,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,12,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,13,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,14,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,15,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,16,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,17,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,18,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,19,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,20,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,21,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,22,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,23,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,24,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,25,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,26,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,27,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,28,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,29,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,30,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,31,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,1,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,2,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,3,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,4,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,5,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,6,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,7,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,8,0,0,-999,-999,-999,-999,-999,-999,-999
1998,9,9,0,0,-999,-999,-999,-999,-999,-999,-999
